MEDIA_CN;MEDIA_CH;MEDIA_LP;MEDIA_MT;MEDIA_RED;TIPO;INSE
453.24;524.89;458.01;438.05;467.25;2;1
456.58;539.79;483.32;438.99;501.22;2;1
538.73;592.7;519.77;590.97;625.13;1;2
457.17;536.95;470.12;435.18;484.16;2;1
459.27;527.68;474.39;427.6;485.38;2;1
450.72;529.07;473.84;436.6;462.67;2;1
496.18;575.4;504.59;506.24;549.75;1;1
475.49;554.2;496.25;459.81;534.98;2;1
469.29;526.25;477.2;432.68;462.50;2;1
486.69;511.87;481.09;434.24;481.43;1;1
493.39;578.02;519.2;510.32;587.06;1;1
482.98;570.03;499.65;495.67;566.40;1;1
522.23;586.94;528.37;539.32;574.63;1;1
515.5;598.98;547.77;530.99;664.14;1;1
471.95;551.53;485.8;461.4;514.34;2;1
450.41;527.69;474.18;422.99;511.43;2;1
451.64;514.6;457.1;431.08;467.25;2;1
483.37;564.91;506.43;487.93;538.08;2;1
454.12;532.66;465.91;432.19;479.24;2;1
471.7;552.17;491.82;448.01;519.60;2;1
530.07;596.71;534.3;524.56;608.29;1;1
461.8;521.39;472.57;443.64;482.47;2;1
438.6;511.01;457.93;425.87;453.18;2;1
462.11;537.01;443.66;446.59;487.06;2;1
434.48;505.28;436.88;399.34;473.78;2;1
449.91;519.51;483.66;448.41;488.78;2;1
519.98;590.17;508.95;550.93;529.60;1;1
468.56;540.41;475.39;458.1;491.95;2;1
464.71;574.88;536.37;464.98;600.00;1;1
457.83;528.08;483.44;435.35;499.15;2;1
497.77;571.22;532.06;507.85;543.33;1;2
455.75;539.42;490.05;421.68;513.73;2;1
436.64;544.03;493.95;425.66;482.56;2;1
442.99;528.02;469.06;427.23;515.42;2;1
443.69;518.53;467.97;415.54;488.04;2;1
462.66;545.92;491.77;454.13;538.33;1;2
487.67;540.42;487.42;445.97;538.40;2;1
464.87;559.8;492.87;448.24;480.00;2;1
470.34;551.81;494.94;449.43;497.98;2;1
458.56;535.99;473;445.3;491.65;2;1
512.9;595.35;554.06;522.86;578.10;1;2
500.02;559.35;494.16;485.22;600.00;1;2
516.4;592.74;540.48;520.19;576.03;1;1
486.64;548.62;493.37;452.38;523.50;2;1
461.45;534.49;482.4;446.87;508.89;2;1
452.3;535.51;481.06;426.2;494.94;2;1
450.07;547.16;472.94;454.46;497.85;2;1
450.93;540.37;473.39;445.38;496.36;2;1
461.21;563.78;501.55;438;542.73;2;1
460.73;534.74;478.23;432.43;490.00;2;1
473.76;558.84;497.35;473.82;561.84;2;1
451.49;549.89;478.11;455.07;494.29;2;1
449.76;535.14;465.84;450.59;501.33;2;1
444.49;561.18;490.04;440.64;529.33;2;1
506.12;602.39;533.93;477.09;588.00;1;1
476.54;558.52;506.27;445.21;500.69;2;1
469.98;537.46;480.39;441.78;518.36;2;1
466.81;555.07;481.68;465.78;486.67;2;1
507.3;573.78;523.35;500.13;460.00;1;2
426.35;534.09;475.54;431.7;505.88;2;1
471.11;552.21;484.85;473.7;527.16;2;1
464.3;531.29;476.42;433.15;508.57;2;1
474.76;555.34;500.43;465.41;505.86;2;1
505.79;579.04;509.99;528.46;649.33;1;1
464.18;555.66;473.87;438.14;488.70;2;1
479.3;549.83;490.1;461.94;495.40;2;1
467.32;539.68;474.13;432.85;463.09;2;1
646.89;683.16;630.57;676.44;820.00;1;2
468.48;544.43;458.62;411.69;530.48;2;1
470.84;539.21;491.01;464.22;496.00;2;1
474.17;567.15;525.42;477.28;580.00;2;1
505.77;582.16;527.39;492.85;580.83;2;2
529.05;583.87;547.11;507.22;652.43;1;2
569.4;634.75;580.67;602.39;730.00;1;2
454.62;555.1;516.42;445.7;592.73;1;1
500.34;589.95;545.2;489.52;595.00;1;2
458.46;533.51;472.62;459.72;507.82;1;1
500.15;565.87;507.52;514.28;528.33;1;2
591.64;652.34;604.53;627.66;732.00;1;2
454.46;532.06;491.5;425.21;533.14;2;1
450.47;517.74;469.17;417.62;518.64;2;1
493.02;584.24;525.74;496.47;625.82;1;1
